ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
44	A-1918_1042023_1732_043.gcd	Unknown	0	6.002	4162868	313852	473.144	-----	93.250	91.386	-----	-----
45	A-1919_1042023_1732_044.gcd	Unknown	0	6.001	4479484	337192	509.131	-----	92.276	90.147	-----	-----
46	A-1920_1042023_1732_045.gcd	Unknown	0	6.002	4225235	318121	480.233	-----	92.532	90.491	-----	-----
47	A-1921_1042023_1732_046.gcd	Unknown	0	6.001	4773426	359354	542.540	-----	2.368	1.850	-----	-----
48	A-1922_1042023_1732_047.gcd	Unknown	0	6.001	4337585	325906	493.002	-----	94.190	92.588	-----	-----
49	A-1923_1042023_1732_048.gcd	Unknown	0	6.001	4382339	329548	498.089	-----	93.236	91.362	-----	-----
50	200$200$0_1042023_1732_049.gcd	Unknown	0	6.002	2489786	188044	282.985	-----	63.925	57.433	-----	-----
51	0$0$0.5_1042023_1732_050.gcd	Unknown	0	6.000	1027487	77164	116.782	-----	96.940	96.130	-----	-----
52	A-1924_1042023_1732_051.gcd	Unknown	0	6.000	1996400	150574	226.907	-----	76.247	71.118	-----	-----
53	A-1925_1042023_1732_052.gcd	Unknown	0	6.003	1637078	123508	186.067	-----	68.923	62.928	-----	-----
54	A-1926_1042023_1732_053.gcd	Unknown	0	6.002	1811734	136731	205.919	-----	72.247	66.612	-----	-----
55	A-1895_1042023_1732_054.gcd	Unknown	0	6.001	1635713	123788	185.912	-----	31.480	25.967	-----	-----
56	A-1896_1042023_1732_055.gcd	Unknown	0	6.002	2133335	160749	242.471	-----	2.299	1.814	-----	-----
57	A-1685_1042023_1732_056.gcd	Unknown	0	6.000	2794040	211000	317.566	-----	26.269	21.485	-----	-----
58	A-1817_1042023_1732_057.gcd	Unknown	0	6.000	12075751	897312	1372.509	-----	82.290	77.785	-----	-----
59	A-1684_1042023_1732_058.gcd	Unknown	0	6.001	12732468	947816	1447.151	-----	84.662	80.543	-----	-----
60	A-1720_1042023_1732_059.gcd	Unknown	0	6.001	11895816	886071	1352.058	-----	90.279	87.460	-----	-----
