ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
83	A-1138_7272023_1212_082.gcd	Unknown	0	3.2	128369	12451	17.497	-----	3.262	4.189	-----	-----
84	A-1139_7272023_1212_083.gcd	Unknown	0	3.2	303628	29740	41.386	-----	6.524	8.383	-----	-----
85	A-1131_7272023_1212_084.gcd	Unknown	0	3.199	269129	26460	36.684	-----	6.049	7.798	-----	-----
86	A-1132_7272023_1212_085.gcd	Unknown	0	3.2	276663	27108	37.711	-----	7.059	9.052	-----	-----
87	A-1133_7272023_1212_086.gcd	Unknown	0	3.2	330731	32548	45.08	-----	6.405	8.266	-----	-----
88	A-1134_7272023_1212_087.gcd	Unknown	0	3.201	275743	26822	37.585	-----	5.764	7.403	-----	-----
89	A-1135_7272023_1212_088.gcd	Unknown	0	3.2	6229410	609886	849.102	-----	20.408	25.529	-----	-----
90	A-1136_7272023_1212_089.gcd	Unknown	0	3.199	6391907	627457	871.251	-----	20.498	25.661	-----	-----
91	A-1037_7272023_1212_090.gcd	Unknown	0	3.2	21817	2067	2.974	-----	0.575	0.729	-----	-----
92	A-1038_7272023_1212_091.gcd	Unknown	0	3.2	20292	1922	2.766	-----	0.439	0.557	-----	-----
93	A-1039_7272023_1212_092.gcd	Unknown	0	3.198	21665	2053	2.953	-----	0.51	0.646	-----	-----
94	A-1040_7272023_1212_093.gcd	Unknown	0	3.2	5316509	522834	724.668	-----	19.149	24.09	-----	-----
95	A-1041_7272023_1212_094.gcd	Unknown	0	3.2	4995102	490667	680.859	-----	18.216	22.986	-----	-----
96	A-1042_7272023_1212_095.gcd	Unknown	0	3.2	5538191	539628	754.885	-----	16.162	20.479	-----	-----
97	A-1043_7272023_1212_096.gcd	Unknown	0	3.2	4972324	485343	677.754	-----	16.442	20.818	-----	-----
98	200$200$0_7272023_1212_097.gcd	Unknown	0	3.199	1475401	146183	201.105	-----	40.503	47.36	-----	-----
99	0$0$0.5_7272023_1212_098.gcd	Unknown	0	-----	-----	-----	-----	-----	-----	-----	-----	-----
100	A-1044_7272023_1212_099.gcd	Unknown	0	3.198	5638951	554341	768.619	-----	13.38	17.22	-----	-----
101	A-1045_7272023_1212_100.gcd	Unknown	0	3.201	5475847	536782	746.387	-----	13.058	16.788	-----	-----
102	A-1034_7272023_1212_101.gcd	Unknown	0	3.199	27099	2585	3.694	-----	0.664	0.846	-----	-----
103	A-1035_7272023_1212_102.gcd	Unknown	0	3.198	34831115	3362946	4747.666	-----	90.225	92.27	-----	-----
104	A-1036_7272023_1212_103.gcd	Unknown	0	3.2	29139	2791	3.972	-----	0.747	0.954	-----	-----
105	A-1028_7272023_1212_104.gcd	Unknown	0	3.2	355622	34891	48.473	-----	7.249	9.313	-----	-----
106	A-1029_7272023_1212_105.gcd	Unknown	0	3.201	377042	36872	51.393	-----	7.947	10.176	-----	-----
